Country Name,Country Code,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,CHN,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10438500000000.0,11015500000000.0,11137900000000.0,12143500000000.0,13608200000000.0
Germany,DEU,3417090000000.0,3757700000000.0,3543980000000.0,3752510000000.0,3898730000000.0,3381390000000.0,3495160000000.0,3693200000000.0,3996760000000.0
Japan,JPN,5700100000000.0,6157460000000.0,6203210000000.0,5155720000000.0,4850410000000.0,4389480000000.0,4926670000000.0,4859950000000.0,4970920000000.0
United States,USA,14992100000000.0,15542600000000.0,16197000000000.0,16784800000000.0,17521700000000.0,18219300000000.0,18707200000000.0,19485400000000.0,20494100000000.0
