station_id,stationname,date,daytype,rides
40040,Quincy/Wells,03/06/2016,SUNDAY/HOLIDAY,1311
40040,Quincy/Wells,03/07/2016,WEEKDAY,8343
40040,Quincy/Wells,03/08/2016,WEEKDAY,8161
40040,Quincy/Wells,03/09/2016,WEEKDAY,8139
40040,Quincy/Wells,03/10/2016,WEEKDAY,8160
40040,Quincy/Wells,03/11/2016,WEEKDAY,7821
40040,Quincy/Wells,03/12/2016,SATURDAY,2256
40040,Quincy/Wells,03/13/2016,SUNDAY/HOLIDAY,1070
40040,Quincy/Wells,03/14/2016,WEEKDAY,8620
40040,Quincy/Wells,03/15/2016,WEEKDAY,8425
40040,Quincy/Wells,03/16/2016,WEEKDAY,8430
40040,Quincy/Wells,03/17/2016,WEEKDAY,8317
40040,Quincy/Wells,03/18/2016,WEEKDAY,7596
40040,Quincy/Wells,03/19/2016,SATURDAY,1849
40040,Quincy/Wells,03/20/2016,SUNDAY/HOLIDAY,1518
